id	rate
18081	18.8
18083	11.2
18085	21.1
18087	59.7
18089	19.8
18091	22.6
18093	22.9
18095	21.3
18097	20.4
18099	28
18101	15.3
18103	24.9
18105	3.9
18107	19.6
18109	14.7
18111	29
18113	24
18115	17.5
18117	18.9
18119	28.8
18121	31
18123	28.3
18125	21.5
18127	13
18129	22.9
18131	30.2
18133	12.5
18135	20.7
18137	17.7
18139	22
18141	13.5
18143	24.8
18145	20.7
18147	20.8
18149	25.2
18151	12.1
18153	25.5
18155	31.2
18157	4.9
18159	26.4
18161	23.2
18163	13.2
18165	18.2
18167	11.8
18169	11.9
18171	23.1
18173	15.7
18175	32.2
18177	19
18179	16.8
18181	21.3
18183	22.7
19001	8.6
19003	23.3
19005	9.4
19007	21.6
19009	21.2
19011	21.1
19013	6.5
19015	17.5
19017	8.2
19019	18.9
19021	15.5
19023	11.5
19025	19.9
19027	15.1
19029	18.5
19031	12.5
19033	8.9
19035	21.4
19037	17.8
19039	13
19041	12.7
19043	12.4
19045	17.6
19047	24
19049	18
19051	42.9
19053	12.4
19055	13
19057	16.3
19059	17.4
19061	7
19063	20.8
19065	9.6
19067	21.7
19069	17.9
19071	16.6
19073	18.8
19075	9
19077	7
19079	10.5
19081	17
19083	12
19085	20.3
19087	21
19089	20.9
19091	11.6
19093	12.1
19095	15.9
19097	15.1
19099	16.3
19101	6.7
19103	4.1
19105	18.5
19107	14.2
19109	13.6
19111	15.4
19113	9.9
19115	20.2
19117	12.8
19119	13.4
19121	20.2
19123	7
19125	8.2
19127	24.7
19129	22.3
19131	18.1
19133	17.7
19135	18.6
19137	21.4
19139	15.7
19141	20.7
19143	27.1
19145	22.8
19147	8.6
19149	17.7
19151	7.8
19153	12.6
19155	13.2
19157	7
19159	20.2
19161	16.2
19163	12.4
19165	14.4
19167	8.9
19169	1.6
19171	16.5
19173	14.7
19175	21.8
19177	25.6
19179	22.8
19181	9.3
19183	16.5
19185	40.9
19187	10.9
19189	6.4
19191	3.8
19193	14.4
19195	13.8
19197	18.2
20001	7.3
20003	12.7
20005	5
20007	26.2
20009	13.8
20011	12.6
20013	21.4
20015	15.8
20017	15.9
